Name,Age,Gender,Country,State,City,Parental_Education_Level,Earning Class,Level,Course Name,Course Level,Material Level,Previous_Scores,Assesment Score,IQ,Attendance,Material Name,recommended_material,Study Time,promoted
Martin Webb,5,Female,French Southern Territories,New Jersey,West Jessica,High School,Medium,Kindergarten,"Play and Learn, My Family and Community, Rhythm and Rhyme",High,Low,65,69,91.35,84,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.14,No
John Jones,14,Male,Mozambique,New Hampshire,Port Anthony,High School,Medium,High School,"Economics, Programming, Web Development",High,Low,75,61,88.65,71,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.66,No
David Wells,10,Male,Kenya,Michigan,Lake Michaelland,Postgraduate,Medium,Elementary,"Introduction to Computers, Art and Imagination, Sports and Games",Medium,Medium,96,69,105.3,94,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.14,Yes
Daniel Ramsey,7,Male,Burkina Faso,Maine,South Randy,High School,Medium,Elementary,"Sports and Games, Stories of the Past, Introduction to Computers",Medium,Medium,73,63,89.55,71,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.78,No
Kenneth White,10,Male,Nauru,South Dakota,New Amy,High School,Medium,Elementary,"Sports and Games, Building Math Foundations, Fun with Languages",High,Low,74,67,93.6,87,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Joseph Bell,18,Male,Uzbekistan,South Dakota,Levyfort,High School,High,High School,"Data Science Basics, Geometry, Chemistry",High,Medium,61,66,86.85000000000001,69,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Stephanie Hall,6,Male,Hungary,Connecticut,Port Ericland,High School,Medium,Kindergarten,"Creative Coloring, Exploring the World, Numbers Around Us",Medium,Medium,58,63,82.8,61,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.78,No
Debra Chapman,11,Female,French Polynesia,Mississippi,Christineton,High School,Medium,Middle School,"Robotics, Instruments and Composition, Fitness and Health",Medium,High,78,68,96.3,76,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
Alexis Wright,8,Male,Liechtenstein,Utah,North Kristinaport,Postgraduate,Low,Elementary,"Reading Adventures, Stories of the Past, Sports and Games",High,High,66,65,88.2,72,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Stephanie Martin MD,9,Male,Senegal,North Carolina,Port Cristina,High School,Medium,Elementary,"Discovering Nature and Science, Art and Imagination, Fun with Languages",Medium,Medium,54,67,84.60000000000001,92,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
David Williams,12,Female,Tajikistan,Ohio,Brownberg,Postgraduate,Medium,Middle School,"Coding for Beginners, Instruments and Composition, Robotics",High,Low,75,68,94.95,92,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
Jeremy Frazier,5,Male,Serbia,Washington,Danielland,College,Low,Kindergarten,"Fun with Letters, Numbers Around Us, Exploring the World",Low,High,83,64,94.95,78,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.84,No
Steven Miller,15,Male,Trinidad and Tobago,New York,Clarkeville,College,Medium,High School,"Business Studies, Career Planning, Algebra II",Medium,Medium,87,71,103.05,84,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.26,Yes
Donald Mccoy,18,Female,Cambodia,Nebraska,New Justinstad,High School,Medium,High School,"Trigonometry, Modern History and Civics, Business Studies",Medium,Medium,92,69,103.5,84,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,Yes
George Howard,14,Male,Estonia,North Carolina,Port Feliciafurt,Postgraduate,Medium,High School,"Biology, SAT/ACT Prep, Geometry",Medium,Medium,74,67,93.6,93,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Carla Lowe,10,Female,Japan,New Jersey,Kyleshire,College,High,Elementary,"Discovering Nature and Science, Art and Imagination, Sports and Games",Low,Medium,70,65,90.0,77,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Lisa Murphy,15,Male,Falkland Islands (Malvinas),West Virginia,South Jaredmouth,High School,Medium,High School,"Algebra II, SAT/ACT Prep, Career Planning",Medium,Medium,84,68,99.0,71,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Kevin Williams,12,Male,Congo,Arizona,Jessicaside,Postgraduate,High,Middle School,"Coding for Beginners, Exploring the World, Introduction to Physics, Chemistry, and Biology",Medium,Medium,51,67,83.25,71,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.02,No
Nancy Arias,6,Male,Bahrain,Delaware,Jonesstad,High School,Medium,Kindergarten,"Rhythm and Rhyme, My Family and Community, Creative Coloring",High,Medium,82,67,97.2,81,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.02,No
Steven Romero,14,Male,South Africa,Wisconsin,North Guy,High School,Low,High School,"Calculus, Economics, Chemistry",High,High,70,66,90.9,78,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Robert Gutierrez,12,Female,United States Minor Outlying Islands,Connecticut,West Adamtown,College,Medium,Middle School,"Exploring the World, Coding for Beginners, World History",Medium,Medium,73,70,95.85,78,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.2,Yes
Karen Taylor,17,Female,Liechtenstein,Nebraska,South Heatherhaven,Postgraduate,Medium,High School,"Cultural and Political Geography, Geometry, Trigonometry",High,Low,65,65,87.75,64,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.9,No
Matthew Munoz,9,Female,Djibouti,Vermont,East Tinaside,Postgraduate,Medium,Elementary,"Introduction to Computers, Discovering Nature and Science, Stories of the Past",Low,Low,56,69,87.3,89,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.14,No
Danielle Cooke,13,Female,Cyprus,Maryland,Paulamouth,High School,High,Middle School,"Exploring the World, Robotics, Algebra Basics",High,Medium,70,65,90.0,69,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.9,No
Deborah Jimenez,12,Male,Uganda,Ohio,Theresashire,College,High,Middle School,"Coding for Beginners, World History, Exploring Literature and Writing",Medium,Medium,65,63,85.95,68,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.78,No
Travis Johnson,17,Female,San Marino,North Carolina,South Lisafort,Postgraduate,Low,High School,"Calculus, Chemistry, Data Science Basics",High,Medium,98,67,104.4,77,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Steven Johnson,15,Female,Dominica,Arizona,Vaughnmouth,High School,Low,High School,"Physics, Environmental Science, Calculus",Medium,Medium,97,61,98.55,69,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.66,No
Dana Walker,12,Female,Myanmar,New Mexico,West Brendafurt,High School,Medium,Middle School,"Introduction to Physics, Chemistry, and Biology, Exploring Literature and Writing, Algebra Basics",Medium,Low,82,65,95.4,83,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.9,No
Brian Bishop,9,Female,Isle of Man,Pennsylvania,Christopherview,College,Low,Elementary,"Reading Adventures, Building Math Foundations, Introduction to Computers",Low,High,95,66,102.15,75,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.96,No
David Taylor,11,Male,Turkey,Colorado,Port Brandonchester,College,High,Middle School,"Instruments and Composition, Coding for Beginners, Introduction to Physics, Chemistry, and Biology",Low,High,88,66,99.0,78,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.96,No
Sarah Mueller,17,Male,Tonga,Oregon,Hartmanstad,High School,High,High School,"Web Development, Environmental Science, Algebra II",High,Low,67,69,92.25,81,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,No
Allison Ballard MD,17,Female,Montenegro,Maryland,Anamouth,College,Medium,High School,"Physics, Career Planning, Calculus",Medium,Medium,80,63,92.7,68,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.78,No
Diane Keller,13,Male,Kazakhstan,New Mexico,Maryborough,Postgraduate,High,Middle School,"Exploring the World, Coding for Beginners, Exploring Literature and Writing",Medium,High,61,65,85.95,66,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.9,No
Scott Cook,18,Male,Czech Republic,Illinois,Colleenbury,High School,High,High School,"Geometry, Programming, Career Planning",Medium,Low,84,67,98.1,95,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Lori Anderson,18,Female,Eritrea,Pennsylvania,Andreview,High School,High,High School,"Calculus, Data Science Basics, Modern History and Civics",Medium,High,52,69,85.5,77,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,No
David Blair,17,Male,Bolivia,Nevada,Kevinstad,Postgraduate,Medium,High School,"Calculus, Web Development, Geometry",Low,Medium,92,65,99.9,76,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.9,No
Stephanie Rodriguez,7,Male,South Africa,Nevada,Marcohaven,High School,Low,Elementary,"Introduction to Computers, Building Math Foundations, Stories of the Past",Medium,Medium,79,65,94.05,61,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Kristen Johnson,8,Male,Iran,South Dakota,Dianaberg,College,Low,Elementary,"Building Math Foundations, Introduction to Computers, Stories of the Past",Medium,Low,53,65,82.35000000000001,80,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Eric Scott,8,Female,Rwanda,Wisconsin,East Erica,College,Low,Elementary,"Discovering Nature and Science, Art and Imagination, Reading Adventures",High,High,94,67,102.6,82,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Shannon Ingram,17,Male,Ethiopia,Kentucky,Williamston,High School,Medium,High School,"Advanced Literature and Composition, Business Studies, Data Science Basics",Medium,Medium,94,66,101.7,82,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Faith Long,12,Female,Nigeria,New Mexico,Lake Christine,High School,Low,Middle School,"Algebra Basics, Robotics, Instruments and Composition",Medium,High,93,72,106.65,88,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.32,Yes
Dr. Penny Smith,14,Male,Indonesia,Oregon,Jameshaven,College,Low,High School,"Cultural and Political Geography, Trigonometry, Web Development",Medium,High,89,66,99.45,67,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Kevin Johnson,18,Male,Bouvet Island (Bouvetoya),Wisconsin,Darrenmouth,College,Medium,High School,"Biology, Calculus, Algebra II",High,Medium,84,65,96.3,70,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.9,No
Alex Case,5,Male,Cote d'Ivoire,Delaware,Port Adam,High School,Low,Kindergarten,"Play and Learn, Creative Coloring, Exploring the World",Medium,Medium,70,69,93.6,92,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.14,No
Janet Williamson,6,Female,Namibia,West Virginia,Josephton,High School,High,Kindergarten,"Creative Coloring, Numbers Around Us, Exploring the World",Low,Low,57,68,86.85000000000001,98,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.08,No
Stephanie Jones,8,Male,Niue,Connecticut,East Edwinfort,Postgraduate,High,Elementary,"Introduction to Computers, Sports and Games, Stories of the Past",Medium,Low,64,64,86.4,65,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.84,No
Barbara Lewis,17,Female,Finland,Maine,Johnsonburgh,College,Medium,High School,"Programming, Career Planning, Data Science Basics",Medium,High,67,69,92.25,80,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,No
Benjamin Mills,5,Female,Angola,South Dakota,East Shawn,High School,High,Kindergarten,"Exploring the World, My Family and Community, Play and Learn",Medium,Low,68,59,83.7,69,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.54,No
Susan Harris,11,Female,Swaziland,Maine,Port Matthewburgh,High School,Medium,Middle School,"Introduction to Physics, Chemistry, and Biology, Algebra Basics, Advanced Art Techniques",Medium,Medium,78,68,96.3,62,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
Melissa Gordon,10,Female,United Kingdom,Montana,Lake Josephmouth,High School,High,Elementary,"Reading Adventures, Sports and Games, Building Math Foundations",Medium,Medium,60,60,81.0,73,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.6,No
Jeffrey Marquez,9,Male,Chad,Kentucky,East Amberville,High School,High,Elementary,"Art and Imagination, Fun with Languages, Stories of the Past",Medium,High,59,62,82.35000000000001,66,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.72,No
Trevor Elliott,13,Male,Sao Tome and Principe,Ohio,Ryanberg,College,Low,Middle School,"Algebra Basics, Exploring the World, Fitness and Health",Low,Medium,86,67,99.0,88,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.02,No
Bill Barrett,17,Female,Cameroon,North Carolina,West Amy,High School,Medium,High School,"SAT/ACT Prep, Algebra II, Data Science Basics",Medium,High,50,68,83.7,81,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Denise Cook,9,Female,San Marino,North Carolina,Scottville,High School,Medium,Elementary,"Discovering Nature and Science, Fun with Languages, Art and Imagination",Medium,High,57,64,83.25,66,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.84,No
Shelby Webb,14,Female,Somalia,Illinois,Harringtonborough,High School,Low,High School,"Environmental Science, Physics, Business Studies",High,High,72,65,90.9,60,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.9,No
Michael Gardner,7,Female,Kenya,Delaware,West William,High School,Medium,Elementary,"Building Math Foundations, Introduction to Computers, Stories of the Past",Medium,Low,57,65,84.15,92,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Lisa Pruitt,16,Female,Cocos (Keeling) Islands,Alaska,East Shane,High School,Low,High School,"Calculus, SAT/ACT Prep, Business Studies",Low,Medium,98,63,100.8,67,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.78,No
Bryan Whitehead MD,5,Male,Vanuatu,Wisconsin,Jonathanfort,High School,Medium,Kindergarten,"Creative Coloring, Exploring the World, Play and Learn",High,Low,84,70,100.8,84,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.2,Yes
Austin Clay,8,Female,Serbia,Michigan,Lanceton,High School,Medium,Elementary,"Stories of the Past, Reading Adventures, Introduction to Computers",Medium,Medium,72,66,91.8,73,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.96,No
Billy Watkins,6,Female,United Arab Emirates,Montana,South Caitlin,High School,High,Kindergarten,"Numbers Around Us, Creative Coloring, Exploring the World",Medium,High,56,68,86.4,83,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.08,No
Dr. Robert Smith,13,Female,Algeria,Maryland,Sarahtown,High School,Medium,Middle School,"World History, Advanced Art Techniques, Fitness and Health",Medium,Low,69,66,90.45,73,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.96,No
Robert Hood DVM,5,Male,Pitcairn Islands,Texas,Markport,College,Medium,Kindergarten,"Rhythm and Rhyme, Creative Coloring, Numbers Around Us",Medium,Low,83,63,94.05,63,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.78,No
Michelle Long DVM,7,Female,Nepal,West Virginia,Nelsonfort,College,Low,Elementary,"Discovering Nature and Science, Building Math Foundations, Reading Adventures",Medium,Medium,98,66,103.5,69,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.96,No
Tamara Davis,11,Female,Sweden,Iowa,Port Leonardburgh,High School,Medium,Middle School,"Algebra Basics, Exploring the World, Robotics",Medium,Medium,74,65,91.8,68,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.9,No
Courtney Johnson,11,Male,Austria,Utah,Lake Johnfurt,Postgraduate,Low,Middle School,"Instruments and Composition, Fitness and Health, Exploring the World",Medium,Medium,85,66,97.65,77,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.96,No
Heidi King,9,Female,Paraguay,Kentucky,West Eric,College,High,Elementary,"Sports and Games, Discovering Nature and Science, Art and Imagination",Low,Low,60,67,87.3,86,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Michelle King DVM,5,Male,Taiwan,Virginia,South Tamara,High School,Low,Kindergarten,"Play and Learn, Exploring the World, Rhythm and Rhyme",Medium,Medium,81,66,95.85,71,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.96,No
Christina Schmidt,8,Female,Myanmar,Oklahoma,Michelleport,High School,Low,Elementary,"Fun with Languages, Reading Adventures, Stories of the Past",High,Medium,62,63,84.60000000000001,60,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.78,No
Gregory Hall,10,Male,American Samoa,Oregon,North Megan,High School,Medium,Elementary,"Fun with Languages, Reading Adventures, Stories of the Past",Medium,Medium,60,66,86.4,81,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.96,No
Scott Castro,17,Male,Uzbekistan,South Dakota,North Randymouth,College,High,High School,"Programming, Calculus, SAT/ACT Prep",Medium,Medium,75,67,94.05,84,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Breanna Smith,12,Male,Azerbaijan,Mississippi,Lake Tamara,High School,Low,Middle School,"Algebra Basics, Exploring the World, Introduction to Physics, Chemistry, and Biology",Medium,Medium,61,71,91.35,99,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.26,No
Brian Jones,6,Female,Saint Vincent and the Grenadines,Georgia,Longhaven,High School,Low,Kindergarten,"Numbers Around Us, Fun with Letters, Exploring the World",Medium,High,86,67,99.0,84,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.02,No
Jeffrey Morris,6,Male,Sierra Leone,Georgia,Rodriguezborough,High School,High,Kindergarten,"Fun with Letters, Numbers Around Us, Rhythm and Rhyme",Low,High,97,69,105.75,79,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.14,Yes
